,Tweets,id,len,date,source,likes,retweets
0,The Second Last Kingdom https://t.co/Je4EI88HmV,1357991946082418690,47,2021-02-06 09:58:04,Twitter for iPhone,114999,5209
1,@DumDin7 @Grimezsz Haven’t heard that name in years …,1357973565413367808,53,2021-02-06 08:45:02,Twitter for iPhone,1032,128
2,@Grimezsz Dogecake,1357972904663687173,18,2021-02-06 08:42:25,Twitter for iPhone,3262,510
3,"YOLT

https://t.co/cnOf9yjpF1",1357970517165182979,29,2021-02-06 08:32:55,Twitter for iPhone,33143,2420
4,@Kristennetten That’s Damian,1357964347813687296,28,2021-02-06 08:08:24,Twitter for iPhone,3131,112
5,@Kristennetten Yeah,1357953080596172800,19,2021-02-06 07:23:38,Twitter for iPhone,1617,50
6,@OwenSparks_ Sure,1357952957086535680,17,2021-02-06 07:23:09,Twitter for iPhone,2330,50
7,The great thing about restaurants is that you get to hang out with strangers! - SJM,1357943711997415424,83,2021-02-06 06:46:24,Twitter for iPhone,81529,5581
8,The future currency of Earth,1357914696645414913,28,2021-02-06 04:51:07,Twitter for iPhone,114890,32183
9,@redlineshifter Just a scratch,1357913463348097025,30,2021-02-06 04:46:13,Twitter for iPhone,3545,265
10,Much wow!,1357902434580918274,9,2021-02-06 04:02:23,Twitter for iPhone,221041,20446
11,@RationalEtienne 🖤,1357657596954505216,18,2021-02-05 11:49:29,Twitter for iPhone,38696,615
12,@wonderofscience Destiny,1357637550249189380,24,2021-02-05 10:29:50,Twitter for iPhone,97303,3771
13,@RenataKonkoly @Teslarati @woodhaus2 Franz was essential,1357610056221564928,56,2021-02-05 08:40:35,Twitter for iPhone,2354,107
14,"@Erdayastronaut @josh_bickett @ajtourville @SpaceX That said, the ship landing burn has a clear solution. My greate… https://t.co/e5Wikiugkz",1357602102189645824,140,2021-02-05 08:08:58,Twitter for iPhone,6845,375
15,"@Adamklotz_ @Erdayastronaut @josh_bickett @ajtourville @SpaceX Will still use hot gas maneuvering (RCS) thrusters,… https://t.co/vsO9h4Ioed",1357522122915086336,139,2021-02-05 02:51:10,Twitter for iPhone,3010,125
16,@Erdayastronaut @josh_bickett @ajtourville @SpaceX Higher Isp too,1357520986602680321,65,2021-02-05 02:46:39,Twitter for iPhone,3642,113
17,"@Erdayastronaut @josh_bickett @ajtourville @SpaceX Intuitively, it would seem so, but turbopump-fed Raptors have mu… https://t.co/lBTG1sIBuC",1357520341355159555,140,2021-02-05 02:44:05,Twitter for iPhone,4971,171
18,@brendan2908 @NASASpaceflight Yes,1357449138292613124,33,2021-02-04 22:01:09,Twitter for iPhone,19495,366
19,RT @SpaceX: Falcon 9 will launch @NASA’s SPHEREx mission – which will collect data on more than 300 million galaxies and explore how the un…,1357447340077031424,140,2021-02-04 21:54:00,Twitter for iPhone,0,4634
20,RT @SpaceX: Falcon 9 launches 60 Starlink satellites to orbit – mission from pad 39A on deck https://t.co/71cuCBgPNX,1357447288969428994,116,2021-02-04 21:53:48,Twitter for iPhone,0,7939
21,@mikko @Darudevil It’s true!,1357440641526038528,28,2021-02-04 21:27:23,Twitter for iPhone,3202,104
22,"@josh_bickett @ajtourville @Erdayastronaut @SpaceX Yeah. By default, engine with least lever arm would shut down if all 3 are good.",1357426784279609344,131,2021-02-04 20:32:19,Twitter for iPhone,6037,190
23,"@ajtourville @Erdayastronaut @SpaceX Yes, but engines have a min throttle point where there is flameout risk, so la… https://t.co/ThniYsSnWn",1357425717500407816,140,2021-02-04 20:28:05,Twitter for iPhone,5169,143
24,@Adamklotz_ @Erdayastronaut @SpaceX Yes,1357422799330107393,39,2021-02-04 20:16:29,Twitter for iPhone,4414,113
25,"@Erdayastronaut @SpaceX It was foolish of us not to start 3 engines &amp; immediately shut down 1, as 2 are needed to land",1357422126161145856,122,2021-02-04 20:13:49,Twitter for iPhone,10571,562
26,"I am become meme,
Destroyer of shorts",1357269755112148993,37,2021-02-04 10:08:21,Twitter Web App,597660,56237
27,@commander_cruz Might actually happen,1357261861415243776,37,2021-02-04 09:36:59,Twitter Web App,11758,583
28,Sandstorm is a masterpiece,1357261308152975361,26,2021-02-04 09:34:47,Twitter Web App,316664,23995
29,@MadOverlord We were too dumb,1357256507847561217,29,2021-02-04 09:15:42,Twitter Web App,27778,1290
30,"Next time, we try pull *up* method https://t.co/J1M7WHLRDR",1357248581581889538,58,2021-02-04 08:44:12,Twitter Web App,223057,17363
31,Low-key Loki,1357248331387441153,12,2021-02-04 08:43:13,Twitter Web App,206868,14455
32,"No highs, no lows, only Doge",1357244295091208193,28,2021-02-04 08:27:10,Twitter Web App,751587,115143
33,No need to be a gigachad to own,1357241805411151873,31,2021-02-04 08:17:17,Twitter Web App,174156,16286
34,Dogecoin is the people’s crypto,1357241340313141249,31,2021-02-04 08:15:26,Twitter Web App,537143,104555
